Naziv,cena,kraj_ogleda,barva,notranjost,st.vrat,oblika,menjalnik,gorivo,novo/rabljeno,prevozeni_km,leto_1.reg,mesec_1.reg,mocKW,mocKM
Renault Megane Dynamique Plus 1.6 16v. ALU. Park senz. Tempom, 1.200 €,2270 Ormož,beige metalik,temno siva / blago,5 vr.,karavan,ročni menjalnik (5 pr.),LPG avtoplin,rabljeno,312600,2008,12,82 kW ,111 KM
Renault Megane GT Line dCi 110 Energy, 6.000 €,4274 Žirovnica,črna,črna / delno usnje,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,175000,2014,7,81 kW ,110 KM
Renault Megane Limited Edition Tce 115 Energy. 1.LASTNIK. SLO POR, 6.990 €,Kandijska cesta 60,rjava metalik,temno siva / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),bencinski motor,rabljeno / ima jamstvo,82354,2015,6,85 kW ,116 KM
Renault Megane 1.5 DCI-ENERGY-LED-6.PRESTAV-BREZ POLOGA, 6.999 €,ISTRSKA CESTA 49,bela,črna / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno / ima garancijo,192468,2016,3,66 kW ,90 KM
Renault Megane RS TROPHY 300 EDC LED-PANO-NAVI, 36.900 €,Ob Mahovniski c. 2,oranžna metalik,/ alcantara,5 vr.,kombilimuzina/hatchback,avtomatski menjalnik,bencinski motor,rabljeno / ima jamstvo,20300,2023,3,221 kW ,300 KM
Renault Megane INTENS TCe 140 FAP, 14.000 €,8351 Straža,bela,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),bencinski motor,rabljeno,58000,2019,7,103 kW ,140 KM
Renault Megane INTENS TCe 140 EDC FAP, 15.490 €,TRŽAŠKA CESTA 426,črna metalik,črna / delno usnje,5 vr.,kombilimuzina/hatchback,avtomatski menjalnik,bencinski motor,rabljeno / ima jamstvo,106000,2019,3,103 kW ,140 KM
Renault Megane 1.6 16V DYNAMIQUE, 1.200 €,3000 Celje,,črna /,4 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,250000,2006,11,74 kW ,101 KM
Renault Megane dCi 130 BOSE Edition, 5.190 €,8350 Dolenjske Toplice,srebrna metalik,črna / delno usnje,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,200000,2014,7,96 kW ,131 KM
Renault Megane Energy TCe 130 INTENS - odlično ohranjen, 9.000 €,1353 Borovnica,zlata metalik,črna / delno usnje,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),bencinski motor,rabljeno,169500,2017,4,97 kW ,132 KM
Renault Megane 1.5 Blue dCi navi-pdc-te nJNBF, 10.990 €,Teharje 17-CELJE,bela,temno siva / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno / ima jamstvo,133042,2019,3,70 kW ,95 KM
Renault Megane Energy TCe 130 BOSE, 10.900 €,1370 Logatec,,/,5 vr.,karavan,ročni menjalnik (6 pr.),bencinski motor,rabljeno,147000,2017,1,97 kW ,132 KM
Renault Megane 1.5 DCI 85 ELAN, 1.350 €,3220 Štore,srebrna,/ blago,4 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),diesel motor,rabljeno,247000,2008,10,63 kW ,86 KM
Renault Megane Gt line, 4.200 €,8000 Novo mesto,,/,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,268000,2011,10,81 kW ,110 KM
Renault Megane Blue dCi BOSE°HEADUP°KAMERA°FULL LED°18COL, 11.950 €,JUHARTOVA 26,siva metalik,/,5 vr.,karavan,avtomatski menjalnik,diesel motor,rabljeno / ima garancijo,165011,2018,8,120 kW ,163 KM
Renault Megane Blue dCi 115 FAP INTENS Avt.-1.LASTNIK-GARANCIJA, 15.490 €,Celjska cesta 43,siva metalik,temno siva / delno usnje,5 vr.,karavan,avtomatski menjalnik,diesel motor,rabljeno / ima garancijo / ima jamstvo,107941,2020,7,85 kW ,116 KM
Renault Megane dCi 115 GRANDCOUPE-SLOVENSKI-76.000KM-LED-1LASTNIK, 14.350 €,MESTINJE 11,temno siva metalik,črna / blago,4 vr.,limuzina,ročni menjalnik (6 pr.),diesel motor,rabljeno / ima garancijo / ima jamstvo,76380,2019,4,85 kW ,116 KM
Renault Megane bencin LG plin, 6.150 €,1411 Izlake,bela,svetlo siva / blago,5 vr.,limuzina,ročni menjalnik (5 pr.),bencinski motor,rabljeno,136300,2013,8,74 kW ,101 KM
Renault Megane 1.5 dCi 105 DYNAMIQUE CONFORT, 850 €,4000 Kranj,,/,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,298766,2006,7,78 kW ,106 KM
Renault Megane GT Sport 1.6 TCe 205 F1 Avt.-1.LASTNIK-GARANCIJA, 17.990 €,Celjska cesta 43,bela metalik,temno siva / alcantara,5 vr.,karavan,avtomatski menjalnik,bencinski motor,rabljeno / ima garancijo / ima jamstvo,90467,2018,2,151 kW ,205 KM
Renault Megane Authentique 1.6 16V, 1.800 €,3310 Žalec,modra metalik,temno siva / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,145000,2009,2,74 kW ,101 KM
Renault Megane INTENS-LED-PDC-NAVI-1.LASTNIK-VIRTUAL-ODLIČEN-, 13.490 €,LJUBLJANSKA CESTA 30,bela,/ blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),bencinski motor,rabljeno,104347,2021,3,85 kW ,116 KM
Renault Megane , 9.900 €,8259 Bizeljsko,bela,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,120000,2017,7,66 kW ,90 KM
Renault Megane Expression 1.5 dCi 90 ECO2, 4.190 €,1296 Šentvid pri Stični,črna metalik,temno siva / blago,3 vr.,coupe,ročni menjalnik (5 pr.),diesel motor,rabljeno,217431,2011,11,66 kW ,90 KM
Renault Megane 1.5 DCI GRANDTOUR HITRI KREDIT BREZ POLOGA, 5.900 €,Prapretno 7,bela,temno siva / blago,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,251000,2016,1,70 kW ,95 KM
Renault Megane Scenic 1.4, 480 €,1000 Ljubljana,,/,5 vr.,limuzina,ročni menjalnik (6 pr.),bencinski motor,rabljeno,215348,2003,8,70 kW ,95 KM
Renault Megane BERLINE 1.6 16V , 1.190 €,1000 Ljubljana,bela,/ blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,208000,2005,6,83 kW ,113 KM
Renault Megane 1.6 16V DYNAMIQUE, 2.390 €,1236 Trzin,temno modra,temno siva / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,132000,2007,12,82 kW ,111 KM
Renault Megane Energy dCi 110 BOSE EDITION MASAŽA KAMERA NAVI, 12.990 €,Harje 21,svetlo modra,črna / delno usnje,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,152800,2018,1,81 kW ,110 KM
Renault Megane Bose Edition 1.9 dCi + Zimski Alu komplet Momo, 3.700 €,6000 Koper/Capodistria,črna metalik,/,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,181824,2011,5,96 kW ,131 KM
Renault Megane 1.6 16V-132.000KM-SLO-AVT.KLIMA-ALU-PDC-ODLIČEN, 2.990 €,Viška cesta 4a,siva metalik,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,132008,2008,11,82 kW ,111 KM
Renault Megane Dynamique 1.6 16v, 3.100 €,4245 Kropa,metalik,temno siva / blago,5 vr.,karavan,ročni menjalnik (5 pr.),bencinski motor,rabljeno,221977,2009,11,82 kW ,111 KM
Renault Megane 1.2 Expression HITRI KREDIT BREZ POLOGA, 7.500 €,Prapretno 7,temno siva,temno siva / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),bencinski motor,rabljeno,124000,2015,1,85 kW ,116 KM
Renault Megane 1.2 16vTCe INTENS-NAVI-AMBIENT-LED-SLO-BREZ POLOGA, 9.690 €,Mariborska cesta 147,črna metalik,črna / delno usnje,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),bencinski motor,rabljeno / ima jamstvo,118898,2016,8,97 kW ,132 KM
Renault Megane 1.6 16V DYNAMIQUE PLUS, 1.250 €,1420 Trbovlje,temno modra,temno siva / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,261000,2007,11,82 kW ,111 KM
Renault Megane 1.4 16 V, 750 €,1000 Ljubljana,modra,/,5 vr.,limuzina,ročni menjalnik (5 pr.),bencinski motor,rabljeno,200000,2000,7,70 kW ,95 KM
Renault Megane Energy dCi-ZEN-NAVI-PDC-LED-ODLIČEN-, 10.990 €,P.E.CESTA KOZJANSKEGA ODREDA 74,bela,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,117962,2017,1,66 kW ,90 KM
Renault Megane Blue dCi - FACELIFT - FULL LED - 0 POLOGA, 12.400 €,Kidričeva cesta 51,bela,temno siva / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno / ima garancijo,101000,2020,12,70 kW ,95 KM
Renault Megane 1.6 16v GT LINE, 4.300 €,3210 Slovenske Konjice,temno modra metalik,temno siva / delno usnje,5 vr.,limuzina,ročni menjalnik (6 pr.),bencinski motor,rabljeno,220000,2011,2,81 kW ,110 KM
Renault Megane Energy dCi 110 INTENS+SLO+LED+NAVI+1.LASTNIK, 11.900 €,Gornji Lenart 63,zlata metalik,temno siva / delno usnje,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno / ima garancijo / ima jamstvo,112000,2018,4,81 kW ,110 KM
Renault Megane Dynamique dCi 110 EDC, 4.200 €,1000 Ljubljana,črna metalik,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,221000,2013,11,81 kW ,110 KM
Renault Megane TCe 130 PS |GT-Line|1.LASTNIK|SLO|12M JAMSTVO, 12.950 €,LETALIŠKA CESTA 12,bela,črna / usnje designo,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),bencinski motor,rabljeno / ima jamstvo,71500,2018,9,97 kW ,132 KM
Renault Megane 1.5 DCI AVTOMATIK-SAMO 31.000KM-LED-PURE-VIRTUAL-, 18.800 €,MESTINJE 11,modra metalik,črna / blago,5 vr.,kombilimuzina/hatchback,avtomatski menjalnik,diesel motor,rabljeno / ima garancijo / ima jamstvo,31687,2020,11,85 kW ,116 KM
Renault Megane Grandtour 1.5 dci, 5.100 €,4000 Kranj,srebrna,/,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,215000,2014,8,70 kW ,95 KM
Renault Megane Limited Edition dCi 110 Energy, 8.900 €,1000 Ljubljana,bela,črna / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno / ima garancijo / ima jamstvo,44500,2015,10,81 kW ,110 KM
Renault Megane Grandtour 1.9 DCI , 1.200 €,3215 Loče,črna,/,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,377206,2005,10,96 kW ,131 KM
Renault Megane Bose Edition 1.9 dCi 130, 2.777 €,1380 Cerknica,,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,340000,2012,11,96 kW ,131 KM
Renault Megane Energy dCi 90 ZEN, 8.700 €,3252 Rogatec,,črna / delno usnje,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,168300,2016,9,66 kW ,90 KM
Renault Megane Dynamique 1.5 dCi 105, 400 €,3320 Velenje,,/,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,290000,2008,6,78 kW ,106 KM
Renault Megane 1.6 16V-SLOVENSKI-1LASTNIK-KLJUKA-KREDIT-, 4.850 €,MESTINJE 11,črna,črna / blago,5 vr.,karavan,ročni menjalnik (6 pr.),bencinski motor,rabljeno / ima garancijo / ima jamstvo,189811,2011,4,81 kW ,110 KM
Renault Megane 1.5DCI 105 DYNAMIQUE, 1.450 €,8220 Šmarješke Toplice,beige metalik,temno siva / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,235000,2007,3,78 kW ,106 KM
Renault Megane dCi 110-SLOVENSKI-SAMO 146.000KM-LED-1LAST-KLJUKA-, 9.850 €,MESTINJE 11,temno siva metalik,črna / blago,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno / ima garancijo / ima jamstvo,146775,2017,5,81 kW ,110 KM
Renault Megane Energy dCi 90 ZEN, 8.480 €,4220 Škofja Loka,črna metalik,/,4 vr.,limuzina,ročni menjalnik (6 pr.),diesel motor,rabljeno,177000,2016,12,66 kW ,90 KM
Renault Megane dCi 115 PS |37 000KM| 1.LASTNIK |12M JAMSTVO, 17.950 €,LETALIŠKA CESTA 12,srebrna metalik,črna / blago,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno / ima jamstvo,37000,2021,3,85 kW ,116 KM
Renault Megane 1.5DCI 85 TEAM, 1.350 €,2250 Ptuj,srebrna,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),diesel motor,rabljeno,295168,2007,12,63 kW ,86 KM
Renault Megane 1.6 DCI- GT LINE-NAVI-XENON-LED-PDC-TEMPOMAT, 12.850 €,Teharska cesta 101,črna,črna / blago,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,167000,2018,undefined,96 kW ,131 KM
Renault Megane GT Line 1.5 dCi 110 - slovensko poreklo, 5.900 €,3320 Velenje,črna metalik,temno siva / delno usnje,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,177000,2011,1,81 kW ,110 KM
Renault Megane 1.5 dCi KLIMA-ALU PLATIŠČA-SLOVENSKI-ZELO LEP, 1.490 €,Vrhniška cesta 25,črna,črna / blago,5 vr.,karavan,ročni menjalnik (5 pr.),diesel motor,rabljeno,239003,2006,7,63 kW ,86 KM
Renault Megane TCe 115 FAP LIMITED|1.LASTNIK |12M JAMSTVO, 13.950 €,LETALIŠKA CESTA 12,srebrna metalik,črna / blago,5 vr.,karavan,ročni menjalnik (6 pr.),bencinski motor,rabljeno / ima jamstvo,80250,2020,1,85 kW ,116 KM
Renault Megane Energy 1.5 dCi, 8.500 €,9000 Murska Sobota,srebrna,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,219617,2017,11,81 kW ,110 KM
Renault Megane Dynamique 1.5 dCi 110 ECO2, 4.690 €,1210 Ljubljana - Šentvid,rdeča,temno siva / alcantara,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,153500,2010,11,81 kW ,110 KM
Renault Megane AUTHENTIQUE 1.6 16v, 1.450 €,6210 Sežana,metalik,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,145000,2001,11,79 kW ,107 KM
Renault Megane Generation 1.6 16V, 4.200 €,8250 Brežice,,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,213000,2014,12,81 kW ,110 KM
Renault Megane CABRIO 1.9dCi PRIVILEGE LUXE SLO 143.000km PDC ALU, 3.300 €,Kurirska pot 4,svetlo siva metalik,/,2 vr.,cabriolet,ročni menjalnik (6 pr.),diesel motor,rabljeno,143000,2005,3,88 kW ,120 KM
Renault Megane 1.6 16V PRIVILEGE , 1.400 €,1000 Ljubljana,zlata metalik,bela / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,230000,2006,9,82 kW ,111 KM
